# Mostly from: https://lunatique.dreamwidth.org/221558.html
## I (irrationalpie) changed some capitalization and spacing?
## But I was just guessing

# Láng Yá Băng  琅琊榜
lang ya bang|Láng Yá Băng
## Xiāo Jĭng Yŭ, 萧景禹 / Prince Qí 祁王 aka whalebro
xiao jing yu|Xiāo Jĭngyŭ
jing yu|Jĭngyŭ
qi wang|Qí wáng
prince qi|Prince Qí
## Xiāo Jĭng Huán萧景桓 / Prince Yù  誉王
xiao jing huan|Xiāo Jĭnghuán
jing huan|Jĭnghuán
yu wang|Yù wáng
prince yu|Prince Yù
yu manor|Yù Manor
## Xiāo Jĭng Xuān 萧景宣 / Prince Xiàn / 太子 Tài Zĭ (crown prince)
xiao jing xuan|Xiāo Jĭngxuān
jing xuan|Jĭngxuān
xian wang|Xiàn wáng
prince xian|Prince Xiàn
tai zi|Tàizĭ
## Jì wáng 纪王 (Prince Jì)
ji wang|Jì wáng
prince ji|Prince Jì
## Princess Jĭng Níng 景宁
jing ning|Jĭngníng

# Tàinăinai 太奶奶 (Great-grandmother)
tai nai nai|Tàinăinai
## Jìng fēi 静妃 (Consort Jing)
jing fei|Jìng fēi
consort jing|Consort Jìng
concubine jing|Concubine Jìng
## Lì Yáng 莅阳 (Grand Princess Liyang)
li yang|Lìyáng
## Yán hòu 言后 (Empress Yan)
## (conflicts with Marquis Yán (Yán hóuyé 言侯爷), so move to the end)
### yan hou|Yán hòu
## Yuè gùi fēi 越贵妃 (Noble Consort Yue)
yue gui fei|Yuè gùifēi
consort yue|Consort Yuè
concubine yue|Concubine Yuè
## Hùi fēi 惠妃 (Consort Hui)
hui fei|Hùi fēi
consort hui|Consort Hùi
concubine hui|Concubine Hùi
## Chén fēi 陈妃 (Consort Chen) / Lín Yùeyáo 林乐瑶
chen fei|Chén fēi
consort chen|Consort Chén
concubine chen|Concubine Chén
lin yueyao|Lín Yùeyáo
yueyao|Yùeyáo
## niáng niang 娘娘 (madam?)
niang niang|niángniang

# Part 5 - Palace adjacent & Nobles (MZ,GZ,SZ,CQ,JR,YJ,YQ,XY,XB,XQ,Zhuo fam)
## Méng Zhì 蒙挚/ Méng dàgē 蒙大哥
meng zhi|Méng Zhì
meng da ge|Méng dàgē
## 大统领 dàtǒnglǐng
## --> I *think* these are the chars/pinyin for Méng Zhì's title as commander?
meng da tong ling|Méng dàtǒnglǐng
## Gāo Zhàn 高湛 / Gāo gōng-gong 高公公
gao zhan|Gāo Zhàn
gao gong gong|Gāo gōnggong
## Shĕn Zhūi 沈追 /Shĕn dà ren 沈大人 (minister Shen)
shen zhui|Shĕn Zhūi
shen da ren|Shĕn dàren
## Cài Quán 蔡荃 / Cài dà ren 蔡大人 (minister Cai)
cai quan|Cài Quán
cai da ren|Cài dàren

# Nobles
## Yán Yù Jīn言豫津
yan yu jin|Yán Yùjīn
yu jin|Yùjīn

# Marquis Yán Qùe 言阙- Yán hóuyé 言侯爷
yan que|Yán Qùe
yan hou ye|Yán hóuyé
hou ye|hóuyé
## Xiāo Jǐng Ruì 萧景睿
xiao jing rui|Xiāo Jǐngruì
jing rui|Jǐngruì
## Marquis Xiè Yù 谢玉  / Níng Guó Hóu 宁国侯 (Marquis of Ning)
xie yu|Xiè Yù
ning guo hou|Níng guóhóu
marquis of ning|Marquis of Níng
xie manor|Xiè Manor
## Xiè Bì 谢弼
xie bi|Xiè Bì
## Xiè Qí 谢绮
xie qi|Xiè Qí
## Yŭ Wén Niàn 宇文念
yu wen nian|Yŭwén Niàn
## Prince Yŭ Wén Xuān 宇文暄
yu wen xuan|Yŭwén Xuān
## Yŭ Wén Lín 宇文霖
yu wen lin|Yŭwén Lín

# Tiān Quán Shān Zhuāng 天泉山庄 (Tian Quan Manor)
tian quan shan zhuang|Tiān Quán Shānzhuāng
tian quan|Tiān Quán
## Zhuó Dĭngfēng 卓鼎风
zhuo ding feng|Zhuó Dĭngfēng
## Zhuó fū ren Madam Zhuó  卓夫人
zhuo fu ren|Zhuó fūren
madam zhuo|Madam Zhuó
## Zhuó Qīng Yáo 卓青遥
zhuo qing yao|Zhuó Qīngyáo

# Part 6 - Others (XJ,XD,XC,XQ,Banruo,Hua ladies, Locations)
# Xuán Jìng Sī 悬镜司 (Xuan Jing Bureau)
xuan jing si|Xuánjìng Sī
xuan jing|Xuánjìng
## Xià Jiāng 夏江
xia jiang|Xià Jiāng
## Xià Dōng 夏冬/Dōng jiě 冬姐
xia dong|Xià Dōng
dong jie|Dōng jiě
## Xià Chūn 夏春
xia chun|Xià Chūn
## Xià Qiū 夏秋
xia qiu|Xià Qiū
## Bonus: The Legend of XiaXia
xia xia|Xià Xià

# the Huá
## Huá Zú 滑族 (Zú is race/nationality)
hua zu|Huá Zú
hua|Huá
## Qín Bān Ruò 秦般若
qin ban ruo|Qín Bānruò
ban ruo|Bānruò
## Sì Jiĕ 四姐 (4th sister) /  Jùn Niáng 隽娘
si jie|Sì Jiĕ
jun niang|Jùn Niáng
## Princess Xuán Jī 璇玑公主 (Xuánjī gōngzhǔ)
princess xuan ji|Princess Xuánjī
xuan ji gong zhu|Xuánjī gōngzhǔ
xuan ji|Xuánjī
## Princess Líng Lóng 玲珑公主
princess ling long|Princess Línglóng
ling long gong zhu|Línglóng gōngzhǔ
ling long|Línglóng
gong zhu|Gōngzhǔ

# Locations:
## Méi Lĭng 梅岭 / Mei Cliff
mei ling|Méilĭng
## Láng Yá Gé 琅琊阁(Lang Ya Hall) / Láng Yá Shān 琅琊山 (Lang ya Mountain)
lang ya ge|Lángyá Gé
lang ya shan|Lángyá Shān
lang ya|Lángyá
## Láng Zhōu
lang zhou|Láng Zhōu
## Dà Liáng 大梁
da liang|Dà Liáng
## Jīn Líng 金陵
jin ling|Jīnlíng
## Xuĕ Lú 雪庐
xue lu|Xuĕ Lú
## Miào Yīn Fáng 妙音坊 (Miao Yin Court)
miao yin fang|Miàoyīn Fáng
miao yin|Miàoyīn
## Hóng Xiù Zhāo  红袖招
hong xiu zhao|Hóng Xiù Zhāo
## Luó Shì Jiē 螺市街 (Luóshì street)
luo shi jie|Luóshì Jiē
luo shi|Luóshì
## Zhĭ Luó Gōng 芷萝宫 (zhiluo palace)
zhi luo gong|Zhĭluó Gōng
zhi luo palace|Zhĭluó Palace
## Jiǔān Shān 九安山 (Jiǔān mountain--where the hunting palace was)
jiu an shan|Jiǔān Shān
jiu an|Jiǔān
## Yào Wáng Gǔ 药王谷 (Yàowáng Valley)
yao wang gu|Yàowáng Gǔ
yao wang valley|Yàowáng Valley
## Yún Nán 云南 (province mu nihuang is from)
yun nan|Yúnnán
## Dōng Hăi 东海 (East China Sea?)
dong hai|Dōng Hăi
## Nán Chŭ 南楚 / Southern Chŭ (country that borders yunnan)
nan chu|Nán Chŭ
southern chu|Southern Chŭ
## Dà Yú 大渝
da yu|Dà Yú
## Bĕi Yàn 北燕
bei yan|Bĕi Yàn
## Yè Qín
ye quin|Yè Qín
## Jiāng Hú 江湖
jiang hu|Jiānghú

# A few misc partial names and titles to try to catch partial matches
## Lín Shū 林殊 / Lìn Chén 蔺晨
lin|[Lín (Shū) or Lìn (Chén)]
shu|Shū
chen|Chén
## Méi Cháng Sū 梅长苏
mei|Méi
## Cài Quán 蔡荃 / Cài dà ren 蔡大人 (minister Cai)
da ren|dàren
## Gāo Zhàn 高湛 / Gāo gōng-gong 高公公
gong gong|gōnggong
## Yuè gùi fēi 越贵妃 (Noble Consort Yue)
gui fei|gùifēi
## Fēi Liú 飞流 and consort (妃) are both "fēi" so we cheat a little here
fei|Fēi
## Zhuó fū ren Madam Zhuó  卓夫人
fu ren|fūren
## I *think* guniang is this --> 姑娘?
gu niang|gūniang
## sibling relations
da ge|dàgē
ge ge|gēge
ge|gē
jie jie|jiějie
jie|jiě

# Conflicts:
## Yán hòu 言后 (Empress Yan)
## (conflicts with Marquis Yán (Yán hóuyé 言侯爷), so move to the end)
yan hou|Yán hòu
